kenteken_land,voertuig_soort,merk,inrichting,datum_eerste_toelating,datum_tenaamstelling,toegestane_maximum_massa_voertuig,europese_voertuigcategorie,europese_voertuigcategorie_toevoeging,taxi_indicator,maximale_constructie_snelheid_bromsnorfiets,brandstoffen,extra_data,diesel,gasoline,electric,versit_klasse,count
NL,Personenauto,,Personenauto,2012-01-01,,1500,M1,,FALSE,,"[{'volgnr': 1, 'brandstof': 'Benzine'}, {'volgnr': 2, 'brandstof': 'CNG'}]",,,,,LPCBEUR5,1
NL,Motorfiets,,Niet geregistreerd,2014-01-01,,1500,L3,,FALSE,,"[{'volgnr': 1, 'brandstof': 'Benzine'}]",,,,,LMFBEUR3LCH,1
NL,Bedrijfsauto,,gecond. met temperatuurreg.,2014-01-01,,1500,N1,,FALSE,,"[{'volgnr': 1, 'brandstof': 'Diesel'}]",,,,,LBADEUA6CL3,1
NL,Bedrijfsauto,VOLVO,gesloten opbouw,2021-01-01,,18000,N3,,FALSE,,"[{'volgnr': 1, 'brandstof': 'Diesel'}]",,,,,MVADEUR6ZWA,1
NL,Bedrijfsauto,,open laadvloer,2020-01-01,,1500,N1,,FALSE,,"[{'volgnr': 1, 'brandstof': 'Diesel'}]",,,,,LBADEUD6CL3,4
NL,Bedrijfsauto,VOLVO,gesloten opbouw,2021-01-01,,16000,N3,,FALSE,,"[{'volgnr': 1, 'brandstof': 'Diesel'}]",,,,,MVADEUR6ZWA,1
NL,Personenauto,,Personenauto,2004-01-01,,1500,M1,,FALSE,,"[{'volgnr': 1, 'brandstof': 'LPG'}, {'volgnr': 2, 'brandstof': 'Benzine'}]",,,,,LPALEUR4,1
NL,Bedrijfsauto,,gesloten opbouw,2003-01-01,,1500,N1,,FALSE,,"[{'volgnr': 1, 'brandstof': 'Diesel'}]",,,,,LBADEUR3CL1,1
NL,Personenauto,,Personenauto,2019-01-01,,1500,M1,,TRUE,,"[{'volgnr': 1, 'brandstof': 'Benzine'}, {'volgnr': 2, 'brandstof': 'Elektriciteit'}]",,,,,LPABEUR6,4
NL,Bedrijfsauto,,gesloten opbouw,2008-01-01,,1500,N1,,FALSE,,"[{'volgnr': 1, 'brandstof': 'Diesel'}]",,,,,LBADEUR5CL3,1
NL,Motorfiets,,Niet geregistreerd,2012-01-01,,1500,L3,,FALSE,,"[{'volgnr': 1, 'brandstof': 'Benzine'}]",,,,,LMFBEUR3MED,6
NL,Personenauto,,Personenauto,1984-01-01,,1500,M1,,FALSE,,"[{'volgnr': 1, 'brandstof': 'Benzine'}]",,,,,LPAB1984MED,1
NL,Personenauto,,Personenauto,2000-01-01,,1500,M1,,FALSE,,"[{'volgnr': 1, 'brandstof': 'Diesel'}]",,,,,LPADEUR3,1
NL,Bedrijfsauto,VOLVO,open laadvloer,2019-01-01,,36000,N3,,FALSE,,"[{'volgnr': 1, 'brandstof': 'Diesel'}]",,,,,ZVADEUR6,1
NL,Personenauto,,Personenauto,2015-01-01,,1500,M1,,FALSE,,"[{'volgnr': 1, 'brandstof': 'Diesel'}]",,,,,LPADEUR5,150
NL,Land- of bosbouwtrekker,JOHN DEERE,Niet geregistreerd,2007-01-01,,,T,,FALSE,,"[{'volgnr': 1, 'brandstof': 'Diesel'}]",,,,,NTWDSTGX,1
NL,Bedrijfsauto,SCANIA,afneembare bovenbouw,2014-01-01,,39000,N3,,FALSE,,"[{'volgnr': 1, 'brandstof': 'Diesel'}]",,,,,ZVADEUR6,1
NL,Personenauto,,Personenauto,2015-01-01,,1500,M1,,FALSE,,"[{'volgnr': 1, 'brandstof': 'Benzine'}, {'volgnr': 2, 'brandstof': 'LPG'}]",,,,,LPALEUR6,2
NL,Bedrijfsauto,MERCEDES-BENZ,gesloten opbouw,2019-01-01,,11990,N3,,FALSE,,"[{'volgnr': 1, 'brandstof': 'Diesel'}]",,,,,MVADEUR6ZWA,3
NL,Bedrijfsauto,,gesloten opbouw,2015-01-01,,1500,N1,,FALSE,,"[{'volgnr': 1, 'brandstof': 'Diesel'}]",,,,,LBADEUR5CL1,21
NL,Personenauto,MERCEDES-BENZ,Personenauto,2014-01-01,,3880,M1,,FALSE,,"[{'volgnr': 1, 'brandstof': 'Diesel'}]",,,,,LPADEUA6,1
NL,Bedrijfsauto,,opleggertrekker,2017-01-01,,1500,N2,,FALSE,,"[{'volgnr': 1, 'brandstof': 'Diesel'}]",,,,,LTRDEUA6CL3,1
NL,Bedrijfsauto,VOLVO,gesloten opbouw,2021-01-01,,27000,N3,,FALSE,,"[{'volgnr': 1, 'brandstof': 'Diesel'}]",,,,,ZVADEUR6,1
NL,Bromfiets,PIAGGIO,N.v.t.,2017-01-01,,,L1,,FALSE,,"[{'volgnr': 1, 'brandstof': 'Benzine'}]",,,,,LBFBEUR24TK,4
NL,Personenauto,,Personenauto,2006-01-01,,1500,M1,,FALSE,,"[{'volgnr': 1, 'brandstof': 'Benzine'}, {'volgnr': 2, 'brandstof': 'LPG'}]",,,,,LPALEUR4,27
NL,Personenauto,,Personenauto,2015-01-01,,1500,M1,,FALSE,,"[{'volgnr': 1, 'brandstof': 'Benzine'}, {'volgnr': 2, 'brandstof': 'Elektriciteit'}]",,,,,LPEBEUR6,141
NL,Bedrijfsauto,,gecond. met temperatuurreg.,2013-01-01,,1500,N1,,FALSE,,"[{'volgnr': 1, 'brandstof': 'Diesel'}]",,,,,LBADEUR5CL3,1
NL,Personenauto,,Personenauto,2013-01-01,,1500,M1,,FALSE,,"[{'volgnr': 1, 'brandstof': 'Diesel'}, {'volgnr': 2, 'brandstof': 'Elektriciteit'}]",,,,,LPADEUR5,5
NL,Personenauto,,Personenauto,2002-01-01,,1500,M1,,FALSE,,"[{'volgnr': 1, 'brandstof': 'Benzine'}]",,,,,LPABEUR2,4
NL,Personenauto,,Personenauto,2010-01-01,,1500,M1,,FALSE,,"[{'volgnr': 1, 'brandstof': 'Diesel'}]",,,,,LPADEUR4,18
NL,Personenauto,,Personenauto,2013-01-01,,1500,M1,,FALSE,,"[{'volgnr': 1, 'brandstof': 'Benzine'}, {'volgnr': 2, 'brandstof': 'Alcohol'}]",,,,,LPABEUR5,1
NL,Personenauto,,Personenauto,2020-01-01,,1500,M1,,FALSE,,"[{'volgnr': 1, 'brandstof': 'Elektriciteit'}]",,,,,LPAEZEEV,701
NL,Bedrijfsauto,,gesloten opbouw,2009-01-01,,1500,N1,,FALSE,,"[{'volgnr': 1, 'brandstof': 'CNG'}, {'volgnr': 2, 'brandstof': 'Benzine'}]",,,,,LBCBEUR4,4
NL,Bedrijfsauto,DAF,gesloten opbouw,2020-01-01,,19500,N3,,FALSE,,"[{'volgnr': 1, 'brandstof': 'Diesel'}]",,,,,MVADEUR6ZWA,2
NL,Bedrijfsauto,MERCEDES-BENZ,opleggertrekker,2012-01-01,,26500,N3,,FALSE,,"[{'volgnr': 1, 'brandstof': 'Diesel'}]",,,,,ZTRDEUR6ZWA,1
NL,Personenauto,OLDSMOBILE,Personenauto,1980-01-01,,,M1,,FALSE,,"[{'volgnr': 1, 'brandstof': 'LPG'}, {'volgnr': 2, 'brandstof': 'Benzine'}]",,,,,LPALPR82ZWA,1
NL,Personenauto,VOLKSWAGEN,Personenauto,1983-01-01,,,M1,,FALSE,,"[{'volgnr': 1, 'brandstof': 'Benzine'}]",,,,,LPAB1983MED,1
NL,Bedrijfsauto,DAF,huifopbouw,2019-01-01,,28000,N3,,FALSE,,"[{'volgnr': 1, 'brandstof': 'Diesel'}]",,,,,ZVADEUR6,1
NL,Personenauto,FORD,Personenauto,2011-01-01,,,,,FALSE,,"[{'volgnr': 1, 'brandstof': 'Benzine'}]",,,,,LPABEUR5,1
